metric,n,mean,sd,mean_plus_minus_sd,median,min,max
matched_poses,10,2947.8,424.7364673143415,2947.800000 ± 424.736467,2831.0,2335.0,3464.0
possible_poses,10,2967.5,431.9445051804173,2967.500000 ± 431.944505,2856.0,2351.0,3493.0
matched_percent,10,99.35566908248505,0.4857216109816248,99.355669 ± 0.485722,99.47058200127626,98.4826796450043,100.0
ape_translation_rmse_m,10,0.0309648,0.00794700712078313,0.030965 ± 0.007947,0.029795,0.021416,0.045038
ape_translation_mean_m,10,0.0269382,0.007486930683976357,0.026938 ± 0.007487,0.0248305,0.018338,0.041325
ape_yaw_rmse_deg,10,0.7636267999999999,0.11011944592607913,0.763627 ± 0.110119,0.7522625000000001,0.590929,0.923701
ape_yaw_mean_deg,10,0.4153893,0.05612975417934177,0.415389 ± 0.056130,0.4090585,0.353039,0.52939
rpe_translation_1m_rmse_m,10,0.0176144,0.002280519589918052,0.017614 ± 0.002281,0.018021500000000003,0.014214,0.021918
rpe_translation_1m_mean_m,10,0.0130033,0.0016312172721280533,0.013003 ± 0.001631,0.013205,0.010775,0.016314
rpe_yaw_1m_rmse_deg,10,1.0665781,0.18144157155799037,1.066578 ± 0.181442,1.0851145,0.738906,1.336529
rpe_yaw_1m_mean_deg,10,0.6025776,0.09899300466890466,0.602578 ± 0.098993,0.620619,0.443995,0.755252
process_cpu_mean_percent,10,15.66845904186339,0.8868852201113779,15.668459 ± 0.886885,15.429329092431502,14.097983870967742,17.045731707317074
process_cpu_p95_percent,10,46.1115,6.779116236239367,46.111500 ± 6.779116,46.032500000000056,33.625000000000036,56.9
process_ram_mean_mb,10,63.119048624320214,3.532573081847042,63.119049 ± 3.532573,63.54063997057213,57.40165348895582,67.9870820668693
process_ram_p95_mb,10,85.43060546875,7.486816757777677,85.430605 ± 7.486817,85.26757812500003,73.5078125,100.1705078125
system_cpu_mean_percent,10,10.886999622585147,0.3043746436254704,10.887000 ± 0.304375,10.837298893459032,10.348790322580646,11.365714285714287
system_ram_mean_percent,10,67.70359037286084,0.7187232958778368,67.703590 ± 0.718723,67.53052447886785,66.82723577235772,69.26144578313253
lidar_rate_hz,10,7.9999137000000005,4.180390731339203e-05,7.999914 ± 0.000042,7.99993,7.999837,7.999954
camera_rate_hz,10,19.7064203,0.7303544042910564,19.706420 ± 0.730354,19.879435,18.199546,20.605732
slam_tf_rate_hz,10,16.4488627,0.5212491522109922,16.448863 ± 0.521249,16.611076,15.529677,17.00307
slam_tf_latency_mean_ms,10,47.73173,2.8236511810466642,47.731730 ± 2.823651,48.272569000000004,42.881673,50.879655
slam_tf_latency_p95_ms,10,118.2789315,6.9630385007448705,118.278931 ± 6.963039,119.5460315,106.836483,125.609004
gazebo_rtf_overall,10,0.9985369000000001,8.247349742662846e-05,0.998537 ± 0.000082,0.9985245,0.998423,0.998677
