experiment,validation_status,configuration,matched_poses,possible_poses,matched_percent,ape_translation_rmse_m,ape_translation_mean_m,ape_yaw_rmse_deg,ape_yaw_mean_deg,rpe_translation_1m_rmse_m,rpe_translation_1m_mean_m,rpe_yaw_1m_rmse_deg,rpe_yaw_1m_mean_deg,process_cpu_mean_percent,process_cpu_p95_percent,process_ram_mean_mb,process_ram_p95_mb,cartographer_cpu_mean_percent,cartographer_cpu_p95_percent,cartographer_ram_mean_mb,cartographer_ram_p95_mb,yolo_cpu_mean_percent,yolo_cpu_p95_percent,yolo_ram_mean_mb,yolo_ram_p95_mb,system_cpu_mean_percent,system_ram_mean_percent,lidar_rate_hz,camera_rate_hz,slam_tf_rate_hz,slam_tf_latency_mean_ms,slam_tf_latency_p95_ms,gazebo_rtf_overall,yolo_device,yolo_frames_processed,yolo_effective_fps,yolo_inference_mean_ms,yolo_inference_p95_ms
1,VALID,cartographer,2623,2623,100.0,0.034254,0.028804,0.735832,0.378847,0.018217,0.013009,0.988295,0.498635,14.097983870967742,33.625000000000036,57.40165348895582,73.5078125,,,,,,,,,10.348790322580646,69.26144578313253,7.999939,18.199546,17.00307,50.879655,123.287547,0.998575,,,,,
2,VALID,cartographer,3303,3322,99.42805538832029,0.021416,0.018338,0.590929,0.38439,0.015589,0.012551,0.738906,0.443995,15.891082802547771,44.49500000000013,65.16693948412698,86.33593750000006,,,,,,,,,10.706369426751593,67.47460317460317,7.999951,18.834701,16.345505,48.191633,125.139393,0.99849,,,,,
3,VALID,cartographer,3440,3493,98.4826796450043,0.031345,0.025896,0.756724,0.45248,0.017826,0.014192,1.003908,0.633981,15.361746987951808,43.75999999999995,65.30493384009009,89.12109375,,,,,,,,,10.908132530120483,67.81051051051051,7.999954,19.917466,15.534231,42.881673,106.836483,0.998534,,,,,
4,VALID,cartographer,3425,3448,99.33294663573086,0.028245,0.023765,0.612802,0.356156,0.014214,0.010902,0.840499,0.492939,17.045731707317074,54.569999999999915,67.9870820668693,91.515625,,,,,,,,,11.011585365853659,67.1322188449848,7.99993,20.168535,16.584243,47.658413,116.913214,0.998654,,,,,
5,VALID,cartographer,2942,2952,99.66124661246613,0.024039,0.021105,0.723645,0.353039,0.016636,0.011863,1.060663,0.583858,16.12,49.155000000000015,64.60640013345196,87.5390625,,,,,,,,,11.1575,67.43843416370106,7.999837,19.841404,16.675025,48.353505,118.570143,0.998438,,,,,
6,VALID,cartographer,2720,2760,98.55072463768116,0.045038,0.041325,0.791881,0.440954,0.018407,0.01344,1.160553,0.663327,15.496911196911197,47.56999999999998,62.47487980769231,84.19921875,,,,,,,,,10.701544401544401,67.68807692307692,7.999913,20.309717,16.455848,46.728347,115.12996,0.998677,,,,,
7,VALID,cartographer,2657,2670,99.51310861423221,0.042027,0.037591,0.90812,0.52939,0.021918,0.016314,1.236164,0.755252,15.13031496062992,40.229999999999976,61.65268075980392,83.61835937500001,,,,,,,,,10.691338582677165,68.57764705882353,7.99994,19.63369,15.529677,43.049807,106.847873,0.99851,,,,,
8,VALID,cartographer,2569,2576,99.72826086956522,0.023802,0.021036,0.923701,0.452974,0.018832,0.013401,1.336529,0.703854,15.231836734693877,42.7,59.06812118902439,80.796875,,,,,,,,,11.365714285714287,66.82723577235772,7.999845,20.605732,16.637909,49.422436,123.933778,0.998423,,,,,
9,VALID,cartographer,2335,2351,99.31943853679286,0.033993,0.02921,0.844833,0.433727,0.01936,0.013586,1.190698,0.642678,15.321973094170403,48.110000000000014,60.23301478794643,77.50156249999999,,,,,,,,,11.212556053811658,67.23928571428571,7.999898,19.385564,16.853741,49.388529,120.52192,0.998515,,,,,
10,VALID,cartographer,3464,3480,99.54022988505747,0.025489,0.022312,0.747801,0.371936,0.015145,0.010775,1.109566,0.607257,16.98700906344411,56.9,67.29478068524097,100.1705078125,,,,,,,,,10.766465256797582,67.58644578313253,7.99993,20.167848,16.869378,50.763302,125.609004,0.998553,,,,,
