metric,n,mean,sd,mean_plus_minus_sd,median,min,max
matched_poses,10,2381.1,90.02647758668928,2381.100000 ± 90.026478,2381.0,2242.0,2573.0
possible_poses,10,2385.4,88.5063713965146,2385.400000 ± 88.506371,2386.0,2247.0,2573.0
matched_percent,10,99.81750653606926,0.09770389979688235,99.817507 ± 0.097704,99.78469724799893,99.74608548455353,100.0
ape_translation_rmse_m,10,0.0317111,0.007118996627958809,0.031711 ± 0.007119,0.0309575,0.02285,0.040545
ape_translation_mean_m,10,0.028325,0.007224695379968163,0.028325 ± 0.007225,0.0277135,0.018957,0.036388
ape_yaw_rmse_deg,10,0.9119083,0.11796289848841833,0.911908 ± 0.117963,0.9427235,0.705975,1.052233
ape_yaw_mean_deg,10,0.4702914,0.05505887955674765,0.470291 ± 0.055059,0.4759265,0.377138,0.542601
rpe_translation_1m_rmse_m,10,0.0202519,0.0014599609165240617,0.020252 ± 0.001460,0.0201935,0.018237,0.02221
rpe_translation_1m_mean_m,10,0.0145225,0.0011209130454926269,0.014523 ± 0.001121,0.014526,0.013108,0.01624
rpe_yaw_1m_rmse_deg,10,1.2925674,0.2114972182544673,1.292567 ± 0.211497,1.290555,0.979905,1.607354
rpe_yaw_1m_mean_deg,10,0.7071077,0.11122463461047347,0.707108 ± 0.111225,0.727325,0.541605,0.85105
process_cpu_mean_percent,10,670.4905927075085,15.740866120190795,670.490593 ± 15.740866,669.4451380540582,644.5004405286344,698.2307692307693
process_cpu_p95_percent,10,828.6455,2.7676769741667906,828.645500 ± 2.767677,829.0925,824.52,833.9499999999998
process_ram_mean_mb,10,867.5784958354783,4.563652797968665,867.578496 ± 4.563653,869.4599065094591,859.5591302306867,872.3003823138298
process_ram_p95_mb,10,889.5514453125,3.645677846386777,889.551445 ± 3.645678,890.63671875,880.8371093750001,893.76015625
cartographer_cpu_mean_percent,10,18.153819930956413,0.6765048438738079,18.153820 ± 0.676505,18.45324426695212,16.66167400881057,18.770954356846474
