experiment,validation_status,configuration,matched_poses,possible_poses,matched_percent,ape_translation_rmse_m,ape_translation_mean_m,ape_yaw_rmse_deg,ape_yaw_mean_deg,rpe_translation_1m_rmse_m,rpe_translation_1m_mean_m,rpe_yaw_1m_rmse_deg,rpe_yaw_1m_mean_deg,process_cpu_mean_percent,process_cpu_p95_percent,process_ram_mean_mb,process_ram_p95_mb,cartographer_cpu_mean_percent,cartographer_cpu_p95_percent,cartographer_ram_mean_mb,cartographer_ram_p95_mb,yolo_cpu_mean_percent,yolo_cpu_p95_percent,yolo_ram_mean_mb,yolo_ram_p95_mb,system_cpu_mean_percent,system_ram_mean_percent,lidar_rate_hz,camera_rate_hz,slam_tf_rate_hz,slam_tf_latency_mean_ms,slam_tf_latency_p95_ms,gazebo_rtf_overall,yolo_device,yolo_frames_processed,yolo_effective_fps,yolo_inference_mean_ms,yolo_inference_p95_ms,yolo_overlap_start_s,yolo_overlap_end_s,yolo_overlap_duration_s,camera_info_overlap_frames,yolo_overlap_frames,yolo_timestamp_matched_frames,camera_info_unmatched_frames,yolo_stamps_absent_from_monitor,camera_info_overlap_rate_hz,yolo_overlap_source_rate_fps,yolo_timestamp_matching_ratio_percent,yolo_predict_mean_ms,yolo_predict_median_ms,yolo_predict_p95_ms,yolo_predict_p99_ms,yolo_predict_max_ms,yolo_callback_mean_ms
1,VALID,cartographer_yolo,2441,2441,100.0,0.027018,0.024432,1.034318,0.468818,0.021209,0.015203,1.535794,0.813388,698.2307692307693,830.28,872.3003823138298,892.51796875,18.107264957264956,51.30499999999994,60.61798537234043,76.67578125,680.1235042735043,804.0,811.6823969414894,816.71484375,47.526923076923076,42.874468085106386,7.99561,20.789227,16.45935,48.135832,120.703614,0.997683,cpu,3949.0,15.44611,51.978458,67.560492,181.16,427.249,246.089,5117.0,3867.0,3865.0,1252.0,2.0,20.789227,15.709764,75.533,51.822,50.26,66.783,77.745,84.878,52.466
2,VALID,cartographer_yolo,2381,2387,99.74863845831588,0.023008,0.019432,0.779233,0.429355,0.018237,0.013108,1.019249,0.541605,665.2775330396476,825.4000000000001,864.8574047423245,888.2134765625,16.66167400881057,40.369999999999905,58.71698533442982,80.5259765625,648.615859030837,803.9,806.1404194078947,811.080859375,45.33832599118943,43.64868421052631,7.999697,19.228264,16.898521,50.356233,122.753221,0.997754,cpu,3506.0,14.257637,53.870004,68.909474,48.762,286.693,237.931,4576.0,3374.0,3374.0,1202.0,0.0,19.228264,14.176379,73.733,53.857,53.469,68.994,77.581,86.321,54.506
3,VALID,cartographer_yolo,2573,2573,100.0,0.02285,0.018957,0.705975,0.377138,0.018389,0.013858,0.979905,0.569893,669.2141078838174,829.4,870.3291096332645,890.6953125,18.770954356846474,53.2,59.71566696797521,79.6427734375,650.443153526971,804.0,810.6134426652893,811.60546875,45.86265560165975,43.24256198347108,7.999722,20.143479,16.820517,49.431687,120.240725,0.997845,cpu,4065.0,14.700741,52.419596,69.181888,42.702,301.694,258.992,5218.0,3855.0,3853.0,1365.0,2.0,20.143479,14.880769,73.841,52.421,50.996,69.296,76.605,85.939,53.074
4,VALID,cartographer_yolo,2357,2363,99.74608548455353,0.029008,0.025039,0.788491,0.392867,0.019384,0.014029,1.105341,0.587194,644.5004405286344,826.32,872.0946922971491,893.76015625,17.433480176211454,45.55999999999993,59.84864994517544,76.1328125,627.0669603524229,803.77,812.2460423519736,820.5234375,44.371806167400884,43.83771929824562,7.999395,17.925559,16.373829,47.720441,117.873567,0.997651,cpu,3295.0,13.696667,54.229166,71.465184,44.702,282.742,238.04,4268.0,3279.0,3277.0,991.0,2.0,17.925559,13.770795,76.781,54.224,52.453,71.455,79.224,86.546,54.872
5,VALID,cartographer_yolo,2242,2247,99.7774810858923,0.040545,0.036388,0.927903,0.518513,0.020848,0.015399,1.28062,0.75621,669.6761682242991,828.815,861.8193313953489,880.8371093750001,18.405607476635513,51.71999999999997,59.76286337209302,73.9453125,651.2705607476636,803.935,802.0564680232558,808.4230468750001,45.75514018691589,43.32697674418605,7.999535,19.872199,16.196429,46.78212,118.750951,0.997694,cpu,3395.0,14.982947,51.412188,66.453345,56.467,280.096,223.629,4445.0,3375.0,3374.0,1071.0,1.0,19.872199,15.087489,75.906,51.384,49.503,66.293,79.154,85.528,52.009
6,VALID,cartographer_yolo,2381,2386,99.79044425817267,0.032907,0.030388,1.052233,0.513563,0.02221,0.015694,1.477406,0.815067,677.852422907489,827.8900000000001,871.4509662828947,891.232421875,18.63876651982379,58.10999999999995,60.960303591008774,80.12109375,659.2136563876652,803.77,810.490662691886,813.5388671875,46.27929515418502,43.705263157894734,7.999592,20.48935,16.503823,48.060212,121.140298,0.997942,cpu,3606.0,15.047674,52.090804,65.1723,54.915,290.452,235.537,4827.0,3553.0,3549.0,1278.0,4.0,20.48935,15.080433,73.524,52.102,51.14,65.347,76.918,85.793,52.738
7,VALID,cartographer_yolo,2358,2363,99.78840457046128,0.025306,0.021582,0.957544,0.508206,0.022044,0.01624,1.340201,0.765458,689.605701754386,830.5100000000001,868.9779441866813,891.375,18.568859649122807,57.695,59.11652224344978,75.62578125,671.0368421052632,803.8,809.8614219432314,821.23125,46.960087719298244,43.73100436681223,7.995191,20.554047,16.394271,62.802661,118.766842,0.99778,cpu,3628.0,15.013107,53.194194,65.624329,57.181,295.139,237.958,4892.0,3589.0,3589.0,1303.0,0.0,20.554047,15.081206,73.365,53.184,52.125,65.619,78.038,89.586,53.83
8,VALID,cartographer_yolo,2278,2283,99.78098992553657,0.038383,0.035525,0.992223,0.542601,0.019539,0.013328,1.30049,0.672772,657.3502304147465,824.52,864.454128440367,886.9384765625,17.784331797235023,54.45999999999993,60.8606472190367,75.6484375,639.5658986175115,803.7,803.5934812213303,814.9451171874999,45.02304147465438,43.93211009174312,7.99958,19.219419,16.628044,48.804642,121.813696,0.997661,cpu,3285.0,14.45372,52.72418,65.877853,58.369,284.182,225.813,4369.0,3277.0,3277.0,1092.0,0.0,19.343439,14.507579,75.006,52.695,51.402,65.759,78.008,87.588,53.342
9,VALID,cartographer_yolo,2381,2386,99.79044425817267,0.038993,0.035638,0.891156,0.477631,0.019314,0.013343,1.279314,0.69844,674.7528634361233,833.9499999999998,869.9418688322369,890.578125,18.50088105726872,54.379999999999974,61.021158854166664,80.35546875,656.2519823788547,803.97,808.9207099780701,810.4453125,46.021585903083704,43.405701754385966,7.999561,20.316218,16.687605,48.607808,118.820679,0.99779,cpu,3727.0,15.502417,50.425638,62.296488,112.062,349.114,237.052,4817.0,3695.0,3695.0,1122.0,0.0,20.316218,15.583079,76.707,50.383,49.732,61.899,72.938,82.062,51.009
10,VALID,cartographer_yolo,2419,2425,99.75257731958763,0.039093,0.035869,0.990007,0.474222,0.021345,0.015023,1.607354,0.85105,658.4456896551724,829.3699999999999,859.5591302306867,889.36640625,18.666379310344826,58.90999999999993,61.635813438841204,82.6171875,639.7793103448275,803.8,797.9233167918455,812.18828125,44.85344827586207,43.83347639484978,7.999571,19.434207,16.750205,49.399085,121.693062,0.997569,cpu,3412.0,14.171569,54.098721,67.97726,51.561,291.01,239.449,4627.0,3407.0,3406.0,1221.0,1.0,19.319354,14.224323,73.611,54.076,53.674,67.95,77.567,87.451,54.75
