metric,n,mean,sd,mean_plus_minus_sd,median,min,max
matched_poses,10,2928.9,347.0047870307011,2928.900000 ± 347.004787,2945.0,2399.0,3517.0
possible_poses,10,2937.5,346.6468744350013,2937.500000 ± 346.646874,2952.0,2405.0,3523.0
matched_percent,10,99.70297592866804,0.15664285032850395,99.702976 ± 0.156643,99.75916080405244,99.33896437752479,99.82969060459835
ape_translation_rmse_m,10,0.0140135,0.0036911071284010887,0.014013 ± 0.003691,0.013859,0.008562,0.022756
ape_translation_mean_m,10,0.0099649,0.0024495184764901584,0.009965 ± 0.002450,0.0099595,0.006249,0.015026
ape_yaw_rmse_deg,10,0.2126212,0.04303600255806501,0.212621 ± 0.043036,0.21063199999999999,0.148031,0.307319
ape_yaw_mean_deg,10,0.1593602,0.032909621999922416,0.159360 ± 0.032910,0.15336349999999999,0.112289,0.234979
rpe_translation_1m_rmse_m,10,0.0062092,0.0017866821392364862,0.006209 ± 0.001787,0.005861999999999999,0.00407,0.009754
rpe_translation_1m_mean_m,10,0.0033644,0.00044233627228363015,0.003364 ± 0.000442,0.003452,0.002653,0.004071
rpe_yaw_1m_rmse_deg,10,0.1576291,0.013735040787465227,0.157629 ± 0.013735,0.158912,0.127076,0.175061
rpe_yaw_1m_mean_deg,10,0.1180222,0.011063781891077451,0.118022 ± 0.011064,0.119977,0.09368,0.132529
process_cpu_mean_percent,10,12.344308496530696,0.6388662867201791,12.344308 ± 0.638866,12.22597256114863,11.762135922330097,13.946153846153846
process_cpu_p95_percent,10,18.453000000000007,0.896738534914165,18.453000 ± 0.896739,18.347500000000004,17.2,20.66000000000001
process_ram_mean_mb,10,482.18908385242247,16.722971423862433,482.189084 ± 16.722971,479.90511927964235,455.99168669871796,516.9413945546407
process_ram_p95_mb,10,587.89724609375,39.183285770411736,587.897246 ± 39.183286,584.1505859375,519.3337890625,656.37578125
system_cpu_mean_percent,10,9.499083630790803,0.23144423589400867,9.499084 ± 0.231444,9.448027379028424,9.242642642642643,9.929182879377432
system_ram_mean_percent,10,47.1460274008827,1.1361440676021903,47.146027 ± 1.136144,46.708420081210775,45.97677419354839,48.952991452991455
lidar_rate_hz,10,7.9995776,0.0010030819397127224,7.999578 ± 0.001003,7.9998854999999995,7.996727,7.999971
camera_rate_hz,10,20.257990647325826,0.41354768038117884,20.257991 ± 0.413548,20.252988262216128,19.402475268068912,20.89954628148083
slam_tf_rate_hz,10,9.9996432,0.0011283006691479422,9.999643 ± 0.001128,10.0,9.996432,10.0
slam_tf_latency_mean_ms,10,62.2837095,0.28485300031156396,62.283710 ± 0.284853,62.310140000000004,61.9261,62.75055
slam_tf_latency_p95_ms,10,118.6310924,0.3078656850768273,118.631092 ± 0.307866,118.627805,118.056221,119.04406
gazebo_rtf_overall,10,0.9984926,0.00010588274437109029,0.998493 ± 0.000106,0.9985215,0.998351,0.998683
