experiment,validation_status,configuration,matched_poses,possible_poses,matched_percent,ape_translation_rmse_m,ape_translation_mean_m,ape_yaw_rmse_deg,ape_yaw_mean_deg,rpe_translation_1m_rmse_m,rpe_translation_1m_mean_m,rpe_yaw_1m_rmse_deg,rpe_yaw_1m_mean_deg,process_cpu_mean_percent,process_cpu_p95_percent,process_ram_mean_mb,process_ram_p95_mb,cartographer_cpu_mean_percent,cartographer_cpu_p95_percent,cartographer_ram_mean_mb,cartographer_ram_p95_mb,yolo_cpu_mean_percent,yolo_cpu_p95_percent,yolo_ram_mean_mb,yolo_ram_p95_mb,system_cpu_mean_percent,system_ram_mean_percent,lidar_rate_hz,camera_rate_hz,slam_tf_rate_hz,slam_tf_latency_mean_ms,slam_tf_latency_p95_ms,gazebo_rtf_overall,yolo_device,yolo_frames_processed,yolo_effective_fps,yolo_inference_mean_ms,yolo_inference_p95_ms
1,VALID,rtab,3125,3140,99.52229299363057,0.015159,0.011555,0.244995,0.18183,0.004392,0.002987,0.162111,0.119712,12.043092105263158,17.86500000000002,474.27359118852456,590.171875,,,,,,,,,9.300657894736842,47.144262295081965,7.999774,20.160822245299414,10.0,61.940908,118.056221,0.998477,,,,,
2,VALID,rtab,2399,2405,99.75051975051976,0.014642,0.010267,0.230569,0.170847,0.005617,0.003346,0.162552,0.127875,11.766094420600858,20.66000000000001,455.99168669871796,519.3337890625,,,,,,,,,9.639914163090129,48.952991452991455,7.999934,20.615725178322535,10.0,62.294293,118.559576,0.998567,,,,,
3,VALID,rtab,2706,2715,99.66850828729282,0.012943,0.008713,0.208477,0.151709,0.007515,0.003599,0.175061,0.123894,12.26425855513308,18.830000000000002,480.70922111742425,588.8822265625,,,,,,,,,9.312927756653993,48.66780303030303,7.999883,20.079327,10.0,62.75055,119.04406,0.998512,,,,,
4,VALID,rtab,2767,2773,99.7836278398846,0.015218,0.011088,0.192338,0.14426,0.007104,0.003726,0.151006,0.110474,12.18768656716418,18.620000000000005,478.9923181923792,577.10078125,,,,,,,,,9.52089552238806,48.48066914498141,7.999857,20.50672916064734,9.996432,62.56917,118.878916,0.998531,,,,,
5,VALID,rtab,3123,3131,99.74449057809007,0.011666,0.009652,0.180805,0.139748,0.00407,0.002853,0.159979,0.123374,13.946153846153846,18.46000000000001,489.14729166666666,615.0740234375,,,,,,,,,9.289632107023412,46.290333333333336,7.999923,19.402475268068912,10.0,62.325987,118.735459,0.998544,,,,,
6,VALID,rtab,3208,3214,99.81331673926572,0.022756,0.015026,0.307319,0.234979,0.009754,0.003671,0.149341,0.109487,12.564012738853503,18.41500000000002,497.0562996031746,631.910546875,,,,,,,,,9.37515923566879,46.397460317460315,7.999878,20.102214650766612,10.0,62.156033,118.470503,0.998531,,,,,
7,VALID,rtab,3517,3523,99.82969060459835,0.008562,0.006249,0.148031,0.112289,0.004412,0.002653,0.127076,0.09368,12.576876876876877,18.1,516.9413945546407,656.37578125,,,,,,,,,9.242642642642643,46.38383233532934,7.999888,19.97756904528249,10.0,62.359571,118.696034,0.998353,,,,,
8,VALID,rtab,3161,3167,99.8105462582886,0.011471,0.007123,0.185924,0.138011,0.005575,0.00318,0.157845,0.120242,11.762135922330097,17.2,483.80546875,579.4189453125,,,,,,,,,9.640129449838188,45.97677419354839,7.996727,20.49034336425728,10.0,61.9261,118.361892,0.998351,,,,,
9,VALID,rtab,2705,2723,99.33896437752479,0.013593,0.009297,0.212787,0.155018,0.006107,0.003558,0.156466,0.118955,11.895419847328244,18.1,465.8725493108365,564.819921875,,,,,,,,,9.739694656488549,46.1467680608365,7.999971,20.89954628148083,10.0,62.540163,119.020436,0.998377,,,,,
10,VALID,rtab,2578,2584,99.76780185758514,0.014125,0.010679,0.214967,0.164911,0.007546,0.004071,0.174854,0.132529,12.437354085603113,18.27999999999999,479.10101744186045,555.8845703125,,,,,,,,,9.929182879377432,47.01937984496124,7.999941,20.345154279132842,10.0,61.97432,118.487827,0.998683,,,,,
