metric,n,mean,sd,mean_plus_minus_sd,median,min,max
matched_poses,10,2779.8,335.7826016272367,2779.800000 ± 335.782602,2731.0,2253.0,3320.0
possible_poses,10,2786.1,336.37229704929956,2786.100000 ± 336.372297,2742.0,2253.0,3327.0
matched_percent,10,99.7747647965084,0.16819253639348175,99.774765 ± 0.168193,99.73247851069448,99.55290611028316,100.0
ape_translation_rmse_m,10,0.017177,0.007964426630684442,0.017177 ± 0.007964,0.014439,0.006696,0.029087
ape_translation_mean_m,10,0.012568,0.005832762200612064,0.012568 ± 0.005833,0.0106225,0.005754,0.02131
ape_yaw_rmse_deg,10,0.2359518,0.09884068448074519,0.235952 ± 0.098841,0.18805850000000002,0.133427,0.417009
ape_yaw_mean_deg,10,0.1746296,0.07467782804256934,0.174630 ± 0.074678,0.141796,0.099659,0.309261
rpe_translation_1m_rmse_m,10,0.0064706,0.0022484064084986456,0.006471 ± 0.002248,0.0059255,0.003685,0.00959
rpe_translation_1m_mean_m,10,0.0036223,0.0005252624846472264,0.003622 ± 0.000525,0.0035165,0.003043,0.004265
rpe_yaw_1m_rmse_deg,10,0.1798267,0.029971462434381736,0.179827 ± 0.029971,0.18164,0.129284,0.22209
rpe_yaw_1m_mean_deg,10,0.1339785,0.023337120370059937,0.133979 ± 0.023337,0.1355635,0.09599,0.168503
process_cpu_mean_percent,10,624.512581948224,12.702542726126937,624.512582 ± 12.702543,624.1932396081816,601.091156462585,649.8558704453442
process_cpu_p95_percent,10,823.7895000000001,1.2212867758593258,823.789500 ± 1.221287,823.7900000000001,822.2650000000001,826.385
process_ram_mean_mb,10,1276.2375252242682,18.807479918209815,1276.237525 ± 18.807480,1282.335809210837,1235.9974555619267,1296.1988570601852
process_ram_p95_mb,10,1370.31515625,34.87987575964818,1370.315156 ± 34.879876,1358.15087890625,1333.1369140625002,1448.54375
rtab_cpu_mean_percent,10,13.651495287572198,0.929682158638544,13.651495 ± 0.929682,13.416012404961984,12.95910780669145,16.21983805668016
rtab_cpu_p95_percent,10,21.913499999999996,1.0429073944187588,21.913500 ± 1.042907,21.75,19.8,23.685
rtab_ram_mean_mb,10,472.0207827281892,18.194656062916756,472.020783 ± 18.194656,474.48656049225247,432.4060349770642,496.7022328317901
rtab_ram_p95_mb,10,560.38419921875,36.070653567235446,560.384199 ± 36.070654,547.2697265625,520.6173828125,639.20390625
yolo_cpu_mean_percent,10,610.8610866606517,12.159689992862502,610.861087 ± 12.159690,610.6376960361366,587.7261904761905,633.6360323886639
yolo_cpu_p95_percent,10,803.8995,0.2049993224921066,803.899500 ± 0.204999,803.8999999999999,803.6,804.235
yolo_ram_mean_mb,10,804.2167424960788,3.662405167969088,804.216742 ± 3.662405,804.2009989887202,798.9735924586777,811.8041578389831
yolo_ram_p95_mb,10,814.3323046875,3.3920532058785517,814.332305 ± 3.392053,813.77001953125,808.8820312500001,818.3736328125001
system_cpu_mean_percent,10,43.128533972871246,0.8750571236976141,43.128534 ± 0.875057,43.208975579892524,41.44353741496599,44.4663967611336
system_ram_mean_percent,10,50.449495224196625,1.3365857381191233,50.449495 ± 1.336586,50.365729800888595,48.8796875,52.53407407407408
lidar_rate_hz,10,7.9995914,0.00012886271764946455,7.999591 ± 0.000129,7.9996089999999995,7.999376,7.999764
camera_rate_hz,10,19.560066957476167,0.46492563812152216,19.560067 ± 0.464926,19.44272257418718,19.048081593006316,20.265340346936515
slam_tf_rate_hz,10,9.997167899999999,0.002087418472127272,9.997168 ± 0.002087,9.9964645,9.994116,10.0
slam_tf_latency_mean_ms,10,62.444628800000004,0.40969631695895703,62.444629 ± 0.409696,62.3110495,62.151829,63.57829
slam_tf_latency_p95_ms,10,118.685246,0.22503501450564348,118.685246 ± 0.225035,118.65060299999999,118.409908,119.131908
gazebo_rtf_overall,10,0.9976877,0.000529557477732339,0.997688 ± 0.000530,0.997771,0.996686,0.998279
yolo_frames_processed,10,4070.2,520.4183787001463,4070.200000 ± 520.418379,4017.5,3193.0,4833.0
yolo_effective_fps,10,14.2977674,0.5022786294379291,14.297767 ± 0.502279,14.222163,13.591562,14.957345
yolo_inference_mean_ms,10,51.274137,1.8500913807488297,51.274137 ± 1.850091,51.547029,48.834679,53.867406
yolo_inference_p95_ms,10,60.5281491,2.3164694387209877,60.528149 ± 2.316469,60.340875,57.416021,64.220118
yolo_overlap_start_s,10,61.7905,21.24542705959201,61.790500 ± 21.245427,60.5485,27.84,96.86
yolo_overlap_end_s,10,338.3538,40.13738622337589,338.353800 ± 40.137386,330.749,293.22,431.302
yolo_overlap_duration_s,10,276.5633,34.64984359769095,276.563300 ± 34.649844,271.784,223.899,334.442
camera_info_overlap_frames,10,5372.0,655.7787567295678,5372.000000 ± 655.778757,5265.5,4240.0,6391.0
yolo_overlap_frames,10,3945.1,447.7138098780912,3945.100000 ± 447.713810,3831.0,3173.0,4613.0
yolo_timestamp_matched_frames,10,3942.2,447.99598212484005,3942.200000 ± 447.995982,3828.0,3171.0,4610.0
camera_info_unmatched_frames,10,1429.8,233.77092300892437,1429.800000 ± 233.770923,1441.5,1069.0,1781.0
yolo_stamps_absent_from_monitor,10,2.9,1.5238839267549948,2.900000 ± 1.523884,2.5,1.0,6.0
camera_info_overlap_rate_hz,10,19.4286922,0.4539116374973344,19.428692 ± 0.453912,19.297922999999997,18.932644,20.070801
yolo_overlap_source_rate_fps,10,14.2832273,0.45419476131502307,14.283227 ± 0.454195,14.2376205,13.617862,14.970792
yolo_timestamp_matching_ratio_percent,10,73.47109999999999,1.816121658308656,73.471100 ± 1.816122,74.6,70.606,75.416
yolo_predict_mean_ms,10,51.2469,1.8691743542716033,51.246900 ± 1.869174,51.593,48.776,53.881
yolo_predict_median_ms,10,50.6304,2.090882333689137,50.630400 ± 2.090882,50.99250000000001,47.523,52.938
yolo_predict_p95_ms,10,60.4517,2.3690721601504676,60.451700 ± 2.369072,60.347,57.031,64.066
yolo_predict_p99_ms,10,72.62819999999999,2.3623883771396375,72.628200 ± 2.362388,72.3595,69.17,76.754
yolo_predict_max_ms,10,130.1812,19.992581495255795,130.181200 ± 19.992581,131.546,91.246,155.545
yolo_callback_mean_ms,10,51.8967,1.8861671335158923,51.896700 ± 1.886167,52.251999999999995,49.422,54.552
