experiment,validation_status,configuration,matched_poses,possible_poses,matched_percent,ape_translation_rmse_m,ape_translation_mean_m,ape_yaw_rmse_deg,ape_yaw_mean_deg,rpe_translation_1m_rmse_m,rpe_translation_1m_mean_m,rpe_yaw_1m_rmse_deg,rpe_yaw_1m_mean_deg,process_cpu_mean_percent,process_cpu_p95_percent,process_ram_mean_mb,process_ram_p95_mb,cartographer_cpu_mean_percent,cartographer_cpu_p95_percent,cartographer_ram_mean_mb,cartographer_ram_p95_mb,rtab_cpu_mean_percent,rtab_cpu_p95_percent,rtab_ram_mean_mb,rtab_ram_p95_mb,yolo_cpu_mean_percent,yolo_cpu_p95_percent,yolo_ram_mean_mb,yolo_ram_p95_mb,system_cpu_mean_percent,system_ram_mean_percent,lidar_rate_hz,camera_rate_hz,slam_tf_rate_hz,slam_tf_latency_mean_ms,slam_tf_latency_p95_ms,gazebo_rtf_overall,yolo_device,yolo_frames_processed,yolo_effective_fps,yolo_inference_mean_ms,yolo_inference_p95_ms,yolo_overlap_start_s,yolo_overlap_end_s,yolo_overlap_duration_s,camera_info_overlap_frames,yolo_overlap_frames,yolo_timestamp_matched_frames,camera_info_unmatched_frames,yolo_stamps_absent_from_monitor,camera_info_overlap_rate_hz,yolo_overlap_source_rate_fps,yolo_timestamp_matching_ratio_percent,yolo_predict_mean_ms,yolo_predict_median_ms,yolo_predict_p95_ms,yolo_predict_p99_ms,yolo_predict_max_ms,yolo_callback_mean_ms
1,VALID,rtab_yolo,3078,3086,99.74076474400519,0.010864,0.007478,0.133427,0.099659,0.006016,0.003193,0.153566,0.113626,601.091156462585,824.4750000000001,1282.8614804025424,1386.7359375,,,,,13.364965986394557,21.6,471.0573225635593,574.194140625,587.7261904761905,804.235,811.8041578389831,818.21875,41.44353741496599,50.15864406779661,7.999585,19.048081593006316,9.996761,63.57829,118.827273,0.997722,cpu,4360.0,14.156321,49.522917,58.698707,65.526,371.002,305.476,5786.0,4331.0,4328.0,1458.0,3.0,18.937658,14.1746,74.801,49.442,48.835,58.533,72.966,107.246,50.07
2,VALID,rtab_yolo,3219,3219,100.0,0.018858,0.012057,0.265413,0.18431,0.007938,0.003067,0.129284,0.09599,620.9496753246754,822.2650000000001,1292.25706664644,1448.54375,,,,,13.694155844155844,21.229999999999997,485.8565685679612,639.20390625,607.2555194805195,803.8999999999999,806.400498078479,812.2734375,42.615584415584415,50.57281553398058,7.999654,19.50996503280491,10.0,62.49853,119.131908,0.99782,cpu,4491.0,13.843819,52.162076,59.798266,27.84,348.512,320.672,6230.0,4473.0,4471.0,1759.0,2.0,19.424833,13.945714,71.766,52.148,52.563,59.783,70.701,121.306,52.791
3,VALID,rtab_yolo,2531,2538,99.72419227738376,0.027573,0.021027,0.362188,0.266916,0.00959,0.004265,0.168981,0.128374,630.5634854771785,823.3,1250.3731598657025,1333.1369140625002,,,,,13.115767634854771,19.8,451.3995674070248,527.158203125,617.4477178423236,804.0,798.9735924586777,808.8820312500001,43.193360995850625,50.577685950413226,7.999395,19.265131345932673,10.0,62.260161,118.636383,0.998055,cpu,3627.0,14.367174,51.395656,59.841902,45.169,293.22,248.051,4751.0,3552.0,3546.0,1205.0,6.0,19.149288,14.315604,74.637,51.454,50.459,59.862,70.243,125.008,52.11
4,VALID,rtab_yolo,2589,2598,99.65357967667437,0.029087,0.02131,0.417009,0.309261,0.009079,0.004178,0.204774,0.150914,649.8558704453442,822.47,1275.0147901965727,1372.3833984375,,,,,16.21983805668016,22.859999999999978,472.06735131048384,560.284375,633.6360323886639,803.8399999999999,802.9474388860887,817.7029296875,44.4663967611336,52.05,7.999633,20.265340346936515,10.0,62.320922,118.445959,0.998197,cpu,3694.0,14.288005,53.269086,64.220118,47.23,303.722,256.492,5149.0,3669.0,3666.0,1483.0,3.0,20.070801,14.300641,71.198,53.205,52.762,64.066,76.754,149.579,53.877
5,VALID,rtab_yolo,2797,2807,99.64374777342358,0.013908,0.0102,0.172722,0.122614,0.005835,0.004071,0.22209,0.168503,633.5594795539033,824.26,1282.2726707175925,1354.5873046875,,,,,12.95910780669145,21.619999999999997,479.4744646990741,544.9376953125,620.6003717472119,804.2,802.7982060185185,813.9015625,43.3635687732342,52.53407407407408,7.999689,20.208795980836243,9.996468,62.277035,118.803122,0.998279,cpu,4212.0,14.957345,49.704759,61.67041,47.445,326.588,279.143,5602.0,4179.0,4177.0,1425.0,2.0,20.064985,14.967239,74.563,49.708,47.889,61.661,74.655,143.445,50.334
6,VALID,rtab_yolo,2253,2253,100.0,0.026351,0.019439,0.317625,0.250107,0.005522,0.003769,0.206039,0.15583,622.5073732718894,822.74,1235.9974555619267,1336.0417968749998,,,,,13.358064516129032,21.699999999999996,432.4060349770642,520.6173828125,609.1493087557603,803.72,803.5914205848624,818.3736328125001,44.050230414746544,51.95504587155963,7.999718,19.05911054548337,9.995536,62.358458,118.876783,0.997713,cpu,3193.0,14.137444,51.698402,61.03123,84.549,308.448,223.899,4240.0,3173.0,3171.0,1069.0,2.0,18.932644,14.167102,74.788,51.732,51.526,61.031,71.753,145.345,52.394
7,VALID,rtab_yolo,3320,3327,99.78960024045686,0.014937,0.009085,0.19517,0.145842,0.008909,0.004222,0.150318,0.108441,623.7291021671826,824.1,1296.1988570601852,1403.654296875,,,,,13.631578947368421,22.599999999999977,496.7022328317901,601.3974609375,610.0975232198142,803.6,799.496624228395,813.6384765625,42.76904024767802,49.31481481481482,7.999764,19.25339640056737,9.994116,62.432043,118.516423,0.996842,cpu,4654.0,13.772455,53.092875,60.839848,96.86,431.302,334.442,6391.0,4613.0,4610.0,1781.0,3.0,19.106452,13.790134,72.133,53.034,52.382,60.832,74.591,155.545,53.706
8,VALID,rtab_yolo,2672,2684,99.55290611028316,0.006696,0.005754,0.14843,0.107429,0.003685,0.003043,0.168583,0.125428,613.3149019607844,823.4800000000001,1287.0817413330078,1357.95703125,,,,,13.467058823529412,21.8,482.2711639404297,546.9013671875,599.8478431372549,803.9,804.8105773925781,812.47265625,42.39137254901961,48.8796875,7.999553,19.49554940311393,9.996277,62.301177,118.539878,0.997892,cpu,4833.0,14.921523,49.193514,57.416021,81.729,346.154,264.425,5113.0,3857.0,3856.0,1257.0,1.0,19.332514,14.582585,75.416,49.089,49.427,57.031,71.503,91.246,49.711
9,VALID,rtab_yolo,2790,2800,99.64285714285714,0.009555,0.008285,0.166587,0.122408,0.004189,0.003151,0.200333,0.149926,624.8973977695167,824.4200000000001,1277.9190827546297,1358.3447265625,,,,,13.224907063197026,22.239999999999995,472.19247685185184,547.6380859375,611.6724907063196,803.7,805.7266059027778,817.2736328125,43.767657992565056,49.37259259259259,7.999547,19.389895745260425,9.996461,62.151829,118.664823,0.996686,cpu,3823.0,13.591562,53.867406,63.942041,55.571,334.91,279.339,5382.0,3805.0,3800.0,1582.0,5.0,19.263332,13.617862,70.606,53.881,52.938,63.941,73.946,134.758,54.552
10,VALID,rtab_yolo,2549,2549,100.0,0.013941,0.011045,0.180947,0.13775,0.003943,0.003264,0.194299,0.142753,624.6573770491804,826.385,1282.3989477040816,1351.7664062499998,,,,,13.479508196721312,23.685,476.78064413265304,541.509375,611.177868852459,803.9,805.6183035714286,810.5859375,43.22459016393443,49.07959183673469,7.999376,20.1054031808199,9.99606,62.267843,118.409908,0.997671,cpu,3815.0,14.942026,48.834679,57.822948,65.986,319.68,253.694,5076.0,3799.0,3797.0,1279.0,2.0,20.004415,14.970792,74.803,48.776,47.523,57.777,69.17,128.334,49.422
